Actual,(0s; 0.004],(0.004s; 1],(1s; 10],(10; timeout],timeout
(0s; 0.004],377,21,17,0,0
(0.004s; 1],492,84,86,0,0
(1s; 10],17,24,42,2,0
(10; timeout],14,28,15,0,0
timeout,3,1,0,1,0
