Actual,(0s; 0.004],(0.004s; 1],(1s; 10],(10; timeout],timeout
(0s; 0.004],3018,67,37,18,0
(0.004s; 1],2128,230,156,50,0
(1s; 10],70,54,61,14,0
(10; timeout],95,43,29,161,0
timeout,8,1,0,12,0
