Actual,0s to 1s,1s to 10s,$>$ 10s
0s to 1s,97.6,0.32,2.08
1s to 10s,55.55555555555556,44.44444444444444,0.0
$>$ 10s,81.81818181818183,9.090909090909092,9.090909090909092
