Actual,(0s; 0.004],(0.004s; 1],(1s; 10],(10; timeout],timeout
(0s; 0.004],44.31137724550898,41.11776447105788,14.570858283433132,0.0,0.0
(0.004s; 1],11.29032258064516,27.419354838709676,61.29032258064516,0.0,0.0
(1s; 10],0.0,11.11111111111111,88.88888888888889,0.0,0.0
(10; timeout],0.0,10.0,90.0,0.0,0.0
timeout,0.0,0.0,100.0,0.0,0.0
