Actual,(0s; 0.004],(0.004s; 1],(1s; 10],(10; timeout],timeout
(0s; 0.004],104,199,2,36,74
(0.004s; 1],56,253,13,163,176
(1s; 10],0,7,0,63,15
(10; timeout],0,7,0,36,14
timeout,0,0,0,2,3
