Actual,(0s; 0.004],(0.004s; 1],(1s; 10],(10; timeout],timeout
(0s; 0.004],70.53201656578528,21.153233513857916,1.8795794839120739,4.746734628862695,1.6884358075820325
(0.004s; 1],24.81467030823254,45.22044479126024,8.466640655481857,15.723761217323448,5.774483027701912
(1s; 10],1.507537688442211,13.5678391959799,37.68844221105528,35.175879396984925,12.060301507537687
(10; timeout],1.8691588785046727,6.853582554517133,9.034267912772584,71.33956386292834,10.903426791277258
timeout,0.0,10.714285714285714,0.0,7.142857142857142,82.14285714285714
