Actual,(0s; 0.004],(0.004s; 1],(1s; 10],(10; timeout=15min],timeout
(0s; 0.004],423,113,0,7,12
(0.004s; 1],31,1663,11,77,21
(1s; 10],0,80,363,47,39
(10; timeout=15min],0,91,189,309,107
timeout,0,3,0,2,32
