Actual,(0s; 0.004],(0.004s; 1],(1s; 10],(10; timeout=15min],timeout
(0s; 0.004],423,64,0,7,7
(0.004s; 1],31,87,0,1,5
(1s; 10],0,5,0,0,4
(10; timeout=15min],0,9,0,0,1
timeout,0,0,0,0,1
