Actual,0s to 1s,1s to 10s,$>$ 10s
0s to 1s,95.42426367461431,3.3835904628330997,1.1921458625525947
1s to 10s,62.311557788944725,30.65326633165829,7.035175879396985
$>$ 10s,42.12034383954155,8.30945558739255,49.570200573065904
