Actual,(0s; 0.004],(0.004s; 1],(1s; 10],(10; timeout=15min],timeout
(0s; 0.004],222,212,121,0,0
(0.004s; 1],18,91,1687,6,0
(1s; 10],0,1,268,260,0
(10; timeout=15min],0,2,402,292,0
timeout,0,0,30,7,0
