val_loss,val_f1,train_f1,ppf1,train_loss,input_d,num_class,batch_size,val_f1_lst,ppNvalf1,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1.335816470781962,0.2828079169375599,0.2568460387731575,0,1.8447483029476432,513,5,256,[0.2828079169375599],0.2828079169375599,1717079672,checkpoint_000000,True,False,1,c15d0_00000,2024-05-30_14-34-35,416.03907537460327,416.03907537460327,2393,34574aac259a,172.17.0.2,416.03907537460327,1
1.2943339665730795,0.3806925745560418,0.319540669611967,0,1.6814617417579474,513,5,256,"[0.2828079169375599, 0.3806925745560418]",0.3806925745560418,1717080060,checkpoint_000001,True,False,2,c15d0_00000,2024-05-30_14-41-03,388.2783100605011,804.3173854351044,2393,34574aac259a,172.17.0.2,804.3173854351044,2
1.227310585975647,0.6256805467853251,0.49009663607069054,0,1.6003885435503582,513,5,256,"[0.2828079169375599, 0.3806925745560418, 0.6256805467853251]",0.6256805467853251,1717080446,checkpoint_000002,True,False,3,c15d0_00000,2024-05-30_14-47-29,384.7465765476227,1189.063961982727,2393,34574aac259a,172.17.0.2,1189.063961982727,3
1.190539264678955,0.6093383347304226,0.5964780149144374,0,1.546765127847361,513,5,256,"[0.2828079169375599, 0.3806925745560418, 0.6256805467853251, 0.6093383347304226]",0.6093383347304226,1717080826,checkpoint_000003,True,False,4,c15d0_00000,2024-05-30_14-53-49,379.4666063785553,1568.5305683612823,2393,34574aac259a,172.17.0.2,1568.5305683612823,4
1.1860573530197143,0.6059292798109381,0.5911163318529806,0,1.51799953538318,513,5,256,"[0.2828079169375599, 0.3806925745560418, 0.6256805467853251, 0.6093383347304226, 0.6059292798109381]",0.6059292798109381,1717081202,checkpoint_000004,True,False,5,c15d0_00000,2024-05-30_15-00-05,376.4278955459595,1944.9584639072418,2393,34574aac259a,172.17.0.2,1944.9584639072418,5
1.170073922475179,0.5999145810064576,0.5791180106275324,0,1.5009837705035542,513,5,256,"[0.3806925745560418, 0.6256805467853251, 0.6093383347304226, 0.6059292798109381, 0.5999145810064576]",0.5999145810064576,1717081592,checkpoint_000005,True,False,6,c15d0_00000,2024-05-30_15-06-35,389.1941375732422,2334.152601480484,2393,34574aac259a,172.17.0.2,2334.152601480484,6
1.1679082791010538,0.6073857311491698,0.5890719986644392,0,1.4949195357256158,513,5,256,"[0.6256805467853251, 0.6093383347304226, 0.6059292798109381, 0.5999145810064576, 0.6073857311491698]",0.6073857311491698,1717082040,checkpoint_000006,True,False,7,c15d0_00000,2024-05-30_15-14-03,447.8544964790344,2782.0070979595184,2393,34574aac259a,172.17.0.2,2782.0070979595184,7
1.1686781644821167,0.6029053056953786,0.5940093601449713,0,1.4759019308311994,513,5,256,"[0.6093383347304226, 0.6059292798109381, 0.5999145810064576, 0.6073857311491698, 0.6029053056953786]",0.6029053056953786,1717082422,checkpoint_000007,True,False,8,c15d0_00000,2024-05-30_15-20-25,381.3805708885193,3163.3876688480377,2393,34574aac259a,172.17.0.2,3163.3876688480377,8
1.1561855951944986,0.6298727718820483,0.603325015314969,0,1.4705219296521919,513,5,256,"[0.6059292798109381, 0.5999145810064576, 0.6073857311491698, 0.6029053056953786, 0.6298727718820483]",0.6298727718820483,1717082802,checkpoint_000008,True,False,9,c15d0_00000,2024-05-30_15-26-45,378.9806363582611,3542.368305206299,2393,34574aac259a,172.17.0.2,3542.368305206299,9
1.157369844118754,0.6335086008384838,0.6196867694135331,0,1.4660090097161227,513,5,256,"[0.5999145810064576, 0.6073857311491698, 0.6029053056953786, 0.6298727718820483, 0.6335086008384838]",0.6335086008384838,1717083178,checkpoint_000009,True,True,10,c15d0_00000,2024-05-30_15-33-01,375.0456337928772,3917.413938999176,2393,34574aac259a,172.17.0.2,3917.413938999176,10
