Actual,0s to 1s,1s to 10s,$>$ 10s
0s to 1s,76.16000000000001,23.84,0.0
1s to 10s,11.11111111111111,88.88888888888889,0.0
$>$ 10s,9.090909090909092,90.9090909090909,0.0
