Actual,0s to 1s,1s to 10s,$>$ 10s
0s to 1s,84.18150975402884,6.573367260390162,9.245122985581
1s to 10s,1.5122873345935728,90.92627599243856,7.561436672967864
$>$ 10s,5.184174624829468,35.60709413369714,59.2087312414734
