Actual,0s to 1s,1s to 10s,$>$ 10s
0s to 1s,96.0,2.88,1.1199999999999999
1s to 10s,55.55555555555556,44.44444444444444,0.0
$>$ 10s,72.72727272727273,27.27272727272727,0.0
