val_loss,val_f1,train_f1,ppf1,train_loss,input_d,num_class,batch_size,val_f1_lst,ppNvalf1,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.8922896146774292,0.4296175547722822,0.42684406582926077,0,0.9935355228047038,513,3,256,[0.4296175547722822],0.4296175547722822,1715245951,checkpoint_000000,True,False,1,e1d80_00007,2024-05-09_09-12-34,1449.349487066269,1449.349487066269,580112,cac33c51b1df,172.17.0.4,1449.349487066269,1
0.8398179888725281,0.6602640145796375,0.537310945124487,0,0.9095466386440189,513,3,256,"[0.4296175547722822, 0.6602640145796375]",0.6602640145796375,1715246960,checkpoint_000001,True,False,2,e1d80_00007,2024-05-09_09-29-23,1009.1107981204987,2458.4602851867676,580112,cac33c51b1df,172.17.0.4,2458.4602851867676,2
0.8186338663101196,0.6875398932460922,0.6622628373494778,0,0.8746714633564616,513,3,256,"[0.4296175547722822, 0.6602640145796375, 0.6875398932460922]",0.6875398932460922,1715248002,checkpoint_000002,True,False,3,e1d80_00007,2024-05-09_09-46-44,1040.4040648937225,3498.86435008049,580112,cac33c51b1df,172.17.0.4,3498.86435008049,3
0.7958363890647888,0.6998808897179173,0.6855508296242045,0,0.8455025844795759,513,3,256,"[0.4296175547722822, 0.6602640145796375, 0.6875398932460922, 0.6998808897179173]",0.6998808897179173,1715248940,checkpoint_000003,True,False,4,e1d80_00007,2024-05-09_10-02-22,937.9410569667816,4436.805407047272,580112,cac33c51b1df,172.17.0.4,4436.805407047272,4
0.7889960289001465,0.6915233917874485,0.6910353107936787,0,0.8286092017972192,513,3,256,"[0.4296175547722822, 0.6602640145796375, 0.6875398932460922, 0.6998808897179173, 0.6915233917874485]",0.6915233917874485,1715249792,checkpoint_000004,True,False,5,e1d80_00007,2024-05-09_10-16-35,851.7478342056274,5288.553241252899,580112,cac33c51b1df,172.17.0.4,5288.553241252899,5
0.7807512402534484,0.6953669360302999,0.6911052490048786,0,0.8161451123481573,513,3,256,"[0.6602640145796375, 0.6875398932460922, 0.6998808897179173, 0.6915233917874485, 0.6953669360302999]",0.6953669360302999,1715250641,checkpoint_000005,True,False,6,e1d80_00007,2024-05-09_10-30-43,847.9997570514679,6136.552998304367,580112,cac33c51b1df,172.17.0.4,6136.552998304367,6
0.7782248338063558,0.6928220397841188,0.6949280727302961,0,0.806375497995421,513,3,256,"[0.6875398932460922, 0.6998808897179173, 0.6915233917874485, 0.6953669360302999, 0.6928220397841188]",0.6928220397841188,1715251438,checkpoint_000006,True,False,7,e1d80_00007,2024-05-09_10-44-00,795.9479944705963,6932.500992774963,580112,cac33c51b1df,172.17.0.4,6932.500992774963,7
0.7632414102554321,0.7220959705504726,0.7019447580430417,0,0.8000378470088161,513,3,256,"[0.6998808897179173, 0.6915233917874485, 0.6953669360302999, 0.6928220397841188, 0.7220959705504726]",0.7220959705504726,1715252210,checkpoint_000007,True,False,8,e1d80_00007,2024-05-09_10-56-52,771.8147346973419,7704.315727472305,580112,cac33c51b1df,172.17.0.4,7704.315727472305,8
0.7598407149314881,0.7206420289809852,0.707936717477036,0,0.793733935023463,513,3,256,"[0.6915233917874485, 0.6953669360302999, 0.6928220397841188, 0.7220959705504726, 0.7206420289809852]",0.7206420289809852,1715252981,checkpoint_000008,True,False,9,e1d80_00007,2024-05-09_11-09-43,770.4520001411438,8474.76772761345,580112,cac33c51b1df,172.17.0.4,8474.76772761345,9
0.7537624597549438,0.7319713431159874,0.7126200297494257,0,0.7876013822333757,513,3,256,"[0.6953669360302999, 0.6928220397841188, 0.7220959705504726, 0.7206420289809852, 0.7319713431159874]",0.7319713431159874,1715253745,checkpoint_000009,True,False,10,e1d80_00007,2024-05-09_11-22-27,764.2889993190765,9239.056726932526,580112,cac33c51b1df,172.17.0.4,9239.056726932526,10
0.7625359574953715,0.7157974235553386,0.7148047533677621,0,0.7818952313689298,513,3,256,"[0.6928220397841188, 0.7220959705504726, 0.7206420289809852, 0.7319713431159874, 0.7157974235553386]",0.7157974235553386,1715254523,checkpoint_000010,True,True,11,e1d80_00007,2024-05-09_11-35-25,777.342711687088,10016.399438619614,580112,cac33c51b1df,172.17.0.4,10016.399438619614,11
