val_loss,val_f1,train_f1,ppf1,train_loss,input_d,num_class,batch_size,val_f1_lst,ppNvalf1,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.8886516094207764,0.43914868818175257,0.4519995865092634,0,1.041807354882706,485,3,256,[0.43914868818175257],0.43914868818175257,1718032260,checkpoint_000000,True,False,1,8ec6f_00000,2024-06-10_15-11-05,466.7659504413605,466.7659504413605,958452,7b1db1286d8e,172.17.0.2,466.7659504413605,1
0.8322711626688639,0.6549041872894122,0.5446197528487449,0,0.9310825480971225,485,3,256,"[0.43914868818175257, 0.6549041872894122]",0.6549041872894122,1718032715,checkpoint_000001,True,False,2,8ec6f_00000,2024-06-10_15-20-13,542.6252498626709,1009.3912003040314,958452,7b1db1286d8e,172.17.0.2,1009.3912003040314,2
0.8050823251406352,0.6646129332497975,0.6214273236679334,0,0.8897877903871758,485,3,256,"[0.43914868818175257, 0.6549041872894122, 0.6646129332497975]",0.6646129332497975,1718033250,checkpoint_000002,True,False,3,8ec6f_00000,2024-06-10_15-29-03,529.5987565517426,1538.989956855774,958452,7b1db1286d8e,172.17.0.2,1538.989956855774,3
0.7941505869229635,0.6872587362626946,0.6750129789999776,0,0.8718404631282008,485,3,256,"[0.43914868818175257, 0.6549041872894122, 0.6646129332497975, 0.6872587362626946]",0.6872587362626946,1718033783,checkpoint_000003,True,False,4,8ec6f_00000,2024-06-10_15-37-44,520.717954158783,2059.707911014557,958452,7b1db1286d8e,172.17.0.2,2059.707911014557,4
0.7798652132352193,0.6895466944539647,0.6834880465236025,0,0.8591083662454472,485,3,256,"[0.43914868818175257, 0.6549041872894122, 0.6646129332497975, 0.6872587362626946, 0.6895466944539647]",0.6895466944539647,1718034307,checkpoint_000004,True,False,5,8ec6f_00000,2024-06-10_15-46-32,527.5497660636902,2587.257677078247,958452,7b1db1286d8e,172.17.0.2,2587.257677078247,5
0.7730278213818867,0.687572413042472,0.6929922608751583,0,0.8523255628208781,485,3,256,"[0.6549041872894122, 0.6646129332497975, 0.6872587362626946, 0.6895466944539647, 0.687572413042472]",0.687572413042472,1718034836,checkpoint_000005,True,False,6,8ec6f_00000,2024-06-10_15-55-28,535.3638780117035,3122.6215550899506,958452,7b1db1286d8e,172.17.0.2,3122.6215550899506,6
0.7726470351219177,0.7005267376630308,0.6975135904426703,0,0.847552569799645,485,3,256,"[0.6646129332497975, 0.6872587362626946, 0.6895466944539647, 0.687572413042472, 0.7005267376630308]",0.7005267376630308,1718035372,checkpoint_000006,True,False,7,8ec6f_00000,2024-06-10_16-04-22,533.6304914951324,3656.252046585083,958452,7b1db1286d8e,172.17.0.2,3656.252046585083,7
0.7617540955543518,0.713463938565004,0.7007285003139618,0,0.8427572305812392,485,3,256,"[0.6872587362626946, 0.6895466944539647, 0.687572413042472, 0.7005267376630308, 0.713463938565004]",0.713463938565004,1718035907,checkpoint_000007,True,False,8,8ec6f_00000,2024-06-10_16-13-10,527.611823797226,4183.863870382309,958452,7b1db1286d8e,172.17.0.2,4183.863870382309,8
0.7577567100524902,0.7149921266839688,0.7022965293780835,0,0.8398204487423564,485,3,256,"[0.6895466944539647, 0.687572413042472, 0.7005267376630308, 0.713463938565004, 0.7149921266839688]",0.7149921266839688,1718036435,checkpoint_000008,True,False,9,8ec6f_00000,2024-06-10_16-22-13,542.217324256897,4726.081194639206,958452,7b1db1286d8e,172.17.0.2,4726.081194639206,9
0.76237713098526,0.7078299490312204,0.7054578506947404,0,0.8372002895488295,485,3,256,"[0.687572413042472, 0.7005267376630308, 0.713463938565004, 0.7149921266839688, 0.7078299490312204]",0.7078299490312204,1718036981,checkpoint_000009,True,True,10,8ec6f_00000,2024-06-10_16-31-11,537.7699184417725,5263.851113080978,958452,7b1db1286d8e,172.17.0.2,5263.851113080978,10
