queryID,triple,bgp,join,leftjoin,union,filter,graph,extend,minus,path*,pathN*,path+,pathN+,path?,notoneof,tolist,order,project,distinct,reduced,multi,top,group,assign,sequence,slice,treesize,execTime,
http://lsq.aksw.org/lsqQuery-cMojQbi34ctqDoviho49bVL_P2xsXJnqi1VerbntliQ,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0203206135580936,
http://lsq.aksw.org/lsqQuery-fCyu4WsbtbD8ISzBNUiBYWqwSzAsu0VQcPj0-uKgjcMLIMIT,6.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.6818003033598266,
http://lsq.aksw.org/lsqQuery-HyyXZkhGvOBg4VUpKu03F7BSqZ3ATVySZdsL45BAVyE,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2850800603628158,
http://lsq.aksw.org/lsqQuery-S0g2dVkDVwtyR7_njnFmb8Kx-DTQqhjLMql1kcQZ7uA,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.3238694307704766,
http://lsq.aksw.org/lsqQuery-BUjznweAPS_rzY7LpYNliGYy9a9iADIfH1N5lEMLV2g,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0249150693416595,
http://lsq.aksw.org/lsqQuery-vEdLsNMI32TlZDqs2V4i_6ioavxUyN3iGv49C3N7mgQLIMIT,6.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.087247356772425,
http://lsq.aksw.org/lsqQuery-Wo4dRPT6il1TixgbOZYn382gj-XTZWnC80QYqliUv08LIMIT,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,31.541786815971136,
http://lsq.aksw.org/lsqQuery-LkYm4nS4_OuZGJqOpnQs6ZU21pmvoZDISGskGnI4oGM,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,49.93219150354465,
http://lsq.aksw.org/lsqQuery-v0sW_nfX1as-cx-U1k7nmNW2C2cQs6GqG83HRIf6-pM,7.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0335728029410044,
http://lsq.aksw.org/lsqQuery-GWBhv3dSWe2J4DLEv5IPfytsOPiu6bVPRWF1Pj1-z84LIMIT,6.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30.17646775394678,
